id	external_id	external_efo_id
8001	MESH:C563815	
12701	MESH:C563895,OMIM:608627	
12801	OMIM:109730	Orphanet_402075,EFO_0000266
13301	OMIM:146850	
13401	MESH:C536560,OMIM:275630	Orphanet_98907,Orphanet_165
14301	OMIM:255125,MESH:C564972	Orphanet_43115
16201	MESH:C565184,OMIM:610758	Orphanet_1466,Orphanet_191
16801	MESH:C562591,OMIM:278730	Orphanet_910,Orphanet_276258,Orphanet_220295
17301	OMIM:214150,MESH:C562434	Orphanet_1466,Orphanet_191
17401	MESH:C562593,OMIM:278780	Orphanet_276267,Orphanet_910,Orphanet_1466,Orphanet_191,Orphanet_220295
18701	OMIM:278760,MESH:C562592	Orphanet_910,Orphanet_276264,Orphanet_220295
19601	MESH:C566436,OMIM:610535	Orphanet_98977
20101	OMIM:610455,MESH:C566473	Orphanet_306658,Orphanet_53715
21501	OMIM:601682	
21801	OMIM:611276,MESH:C566976	
22201	MESH:C563873,OMIM:608696	Orphanet_98977
22301	OMIM:608695,MESH:C563874	Orphanet_98977
22401	OMIM:609745,MESH:C565724	
23601	OMIM:613672	Orphanet_254343
30401	OMIM:612581,MESH:C567240	Orphanet_178469
32001	OMIM:611390	Orphanet_314603
33101	MESH:C536824,OMIM:600975	Orphanet_98976
50701	MESH:C564296,OMIM:608088	Orphanet_139564
53601	OMIM:222700,MESH:C562687	Orphanet_470
59901	OMIM:608443,MESH:C563929	Orphanet_88616
64801	MESH:C537853,OMIM:310700	
67801	MESH:C538242,OMIM:204700	Orphanet_100033,Orphanet_88661
69101	MESH:C563399,OMIM:601068	Orphanet_86814
71301	MESH:C567285,OMIM:612521	
72101	MESH:C537140,OMIM:601101	Orphanet_774
74701	MESH:C567365,OMIM:612284	Orphanet_564
80001	OMIM:606579	
90901	OMIM:158900,MESH:C536391	EFO_0000491,Orphanet_269
91001	OMIM:158901,MESH:C563557	Orphanet_269
95501	MESH:C566339,OMIM:603720	Orphanet_90636
95601	MESH:C536426,OMIM:303400	MONDO_0010560,Orphanet_324601
97401	OMIM:612703	Orphanet_2512
104101	OMIM:612644,MESH:C567214	Orphanet_90635
104201	MESH:C567134,OMIM:220290	Orphanet_90636
106601	OMIM:116200,MESH:C566158	Orphanet_91492,Orphanet_98984,Orphanet_1377
107801	OMIM:601885,MESH:C566608	Orphanet_98986,Orphanet_98991,Orphanet_91492,Orphanet_98984,Orphanet_98993
124001	OMIM:300707,MESH:C567475	Orphanet_140952
131301	OMIM:183840	
131601	OMIM:613238	
132001	OMIM:300428,MESH:C563135	Orphanet_777
146701	OMIM:150800	Orphanet_523
148101	MESH:C563732,OMIM:609340	Orphanet_101008
148401	MESH:C535420,OMIM:601382	Orphanet_99955
153701	OMIM:607417,MESH:C564404	Orphanet_88616
154701	OMIM:154500,MESH:D008342	Orphanet_155899,EFO_0003954,Orphanet_861
157601	MESH:C563683,OMIM:610329	Orphanet_51
162301	MESH:C563999,OMIM:600105	Orphanet_791
169601	OMIM:604595	
172301	MESH:C565772,OMIM:604432	Orphanet_98767
172401	OMIM:602134,MESH:C536546	
175801	OMIM:311050	Orphanet_98890
176101	OMIM:610708,MESH:C537126	Orphanet_98673
176201	OMIM:606657	EFO_0004190
177201	MESH:C537127,OMIM:258500	Orphanet_99012
178201	OMIM:608096	Orphanet_98819
179801	MESH:C537143,OMIM:602475	EFO_0005895
187401	OMIM:235000,MESH:C565524	Orphanet_2128
187701	MESH:C565717,OMIM:610153	Orphanet_90636
188301	MESH:C565775,OMIM:604401	Orphanet_217656
188501	OMIM:602087,MESH:C566583	Orphanet_217656
190201	MESH:C535912,OMIM:146550	MONDO_0007806,Orphanet_444
194001	OMIM:604187,MESH:C537482	Orphanet_100991
194301	MESH:C537307,OMIM:608768	Orphanet_98760
194801	MESH:C538050,OMIM:603622	Orphanet_90635
197001	MESH:C567698,OMIM:608194	Orphanet_1872
198101	MESH:C535683,OMIM:602771	Orphanet_324604,Orphanet_97244,Orphanet_84132,MONDO_0011271,Orphanet_598
198901	OMIM:607523,MESH:C564384	Orphanet_79369
199601	OMIM:168860,MESH:C535568	Orphanet_86789
200401	MESH:C563471,OMIM:600593	
211201	OMIM:253310,MESH:C537194	Orphanet_1486
213701	OMIM:115650	Orphanet_91492,Orphanet_98993,Orphanet_98988
214601	OMIM:109660	
219101	OMIM:602089,MESH:C535860	Orphanet_91415
219301	MESH:C564992,OMIM:136900	Orphanet_59181
220801	MESH:C566138,OMIM:118210	Orphanet_99946
227401	OMIM:302802,MESH:C535303	Orphanet_101077
227601	MESH:C535302,OMIM:302801	Orphanet_101076
235901	MESH:C536827,OMIM:138000	Orphanet_83454
238101	MESH:C565071,OMIM:129150	
239301	OMIM:607087,MESH:C564627	Orphanet_91387
239501	OMIM:607086,MESH:C562834	Orphanet_91387,EFO_0001666,Orphanet_229
239801	OMIM:612263	
240201	OMIM:608035	Orphanet_618
244001	OMIM:611891	Orphanet_86
244901	OMIM:609782	Orphanet_86
251601	MESH:C566582,OMIM:602088	Orphanet_655
259001	MESH:C567687,OMIM:613237	Orphanet_656,EFO_0004236
261101	MESH:C537784,OMIM:132900	Orphanet_91387,Orphanet_233655
265201	OMIM:155601	Orphanet_618
271701	MESH:C565319,OMIM:605583	Orphanet_90635
277601	OMIM:300672,MESH:C564064	Orphanet_3095,Orphanet_3451,Orphanet_1934
284801	OMIM:600048	Orphanet_227535
288901	OMIM:193530,MESH:C536695	Orphanet_952
289901	MESH:C535460,OMIM:246700	Orphanet_71
290101	MESH:C575534,OMIM:256731	Orphanet_228360,Orphanet_168491
303201	MESH:C565297,OMIM:605750	Orphanet_891
304701	MESH:C566900,OMIM:611637	Orphanet_35689
304801	OMIM:609790,MESH:C565228	Orphanet_1020
305201	MESH:C566998,OMIM:611155	Orphanet_1020
305301	MESH:C566999,OMIM:611154	Orphanet_1020
305401	MESH:C567000,OMIM:611152	Orphanet_1020
305501	MESH:C567022,OMIM:611073	Orphanet_1020
305901	MESH:C567463,OMIM:300756	
310901	OMIM:608029,MESH:C537312	Orphanet_284332
313601	MESH:C567015,OMIM:611094	Orphanet_88616,Orphanet_289290
315901	MESH:C565298,OMIM:605749	Orphanet_91492,Orphanet_98984
317701	MESH:C564101,OMIM:309620	Orphanet_1436
323401	OMIM:267750,MESH:C537209	Orphanet_1571
324201	MESH:C564527,OMIM:300360	Orphanet_85289
324501	MESH:C566429,OMIM:602685	
332401	OMIM:613154	Orphanet_588,Orphanet_899
334301	OMIM:300245,MESH:C564553	Orphanet_91411
342101	MESH:C563335,OMIM:601369	Orphanet_90635
346601	MESH:C567389,OMIM:612240	Orphanet_334
352801	OMIM:155240,MESH:C536911	Orphanet_653,Orphanet_99361
354001	OMIM:309549,MESH:C563137	Orphanet_777
356401	MESH:C562806	
357001	OMIM:608027,MESH:C548072	Orphanet_97249
360401	OMIM:167960	
365101	OMIM:300048,MESH:C535532	Orphanet_2978,Orphanet_165655,Orphanet_2301
366401	MESH:C563410,OMIM:600994	Orphanet_90635
369201	MESH:D058674	
377601	MESH:C566951,OMIM:611451	Orphanet_90636
378201	MESH:C538177	
381001	OMIM:613660	Orphanet_1872,Orphanet_791
384201	MESH:C565158,OMIM:121400	Orphanet_53691
390501	OMIM:607514	
394801	MESH:C563975,OMIM:600209	Orphanet_321
